,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
12,-0.055598564,0.06156173,-0.23566204,-0.2735282,-0.12831219,-0.03918628,-0.0563605,-0.30100775,-0.1922673,-0.29755667,0.08027533,0.3372127,0.016143939,0.045254666,-0.033826414,-0.089565545,-0.26475346,-0.22651802,-0.0041381647,0.11291559,-0.2497625,-0.08441272,-0.14515033,-0.3173602,-0.10091624,0.09157045,0.011344181,-0.10777104,-0.35913253,-0.20980316,0.15610202,-0.27375332,0.15268685,0.3191133,0.29614833,-0.3964376,0.1326611,-0.27269322,0.007791479,-0.01030896,0.05753043,0.056330618,0.1055575,0.115514085,-0.253508,-0.06284,0.18537657,-0.42851615,0.15541506,0.1522056,-0.106521726,-0.20795278,0.037752915,-0.12707324,0.10531207,0.5820963,-0.7067992,-0.071248904,-0.12898111,-0.10444601,-0.17641655,0.1147035,0.32401922,0.0153609365
13,-0.049832877,0.12060389,0.075408615,0.31809592,-0.08441127,-0.081114754,0.4606786,-0.148352,-0.24172507,-0.095988505,0.5261525,0.057800185,0.3373306,-0.08731067,-0.2823264,0.44095427,0.22319296,0.062417474,0.12655179,0.14472637,-0.004773892,-0.0025651988,0.0460169,-0.3414915,0.3454274,-0.028240569,0.30684683,-0.41659582,-0.15421583,0.33064505,0.31696847,-0.14365174,-0.23187384,0.060928214,0.32807767,0.20943588,0.22481446,-0.7082022,0.010261127,-0.13935278,0.29995453,0.1938359,0.32978228,-0.09160277,-0.025703445,-0.11470732,-0.21982966,0.06308191,0.058880474,0.056033444,0.3325407,-0.08430747,-0.16963966,0.14723833,-0.038287412,0.20691143,0.2752797,-0.07190076,0.07437027,-0.5186782,-0.21599506,-0.5274539,0.09420429,0.0857394
14,-0.038120463,-0.2013858,-0.30543822,0.09924559,-0.0011945759,-0.16003866,0.043798693,0.4315105,0.20347191,-0.21064225,0.19014485,0.10219645,0.121731564,0.05703151,0.030981395,-0.21204706,-0.098205,-0.00032730633,-0.00697952,-0.17709677,0.07178572,0.11799535,0.072953604,0.7243734,0.09700464,-0.24024566,0.33870953,0.09412198,-0.18717365,0.2916492,0.34210023,-0.20226108,-0.27565998,0.48427483,0.03078297,-0.5983961,0.17607121,-0.25846142,0.07988486,0.1315212,0.14159597,0.28748512,0.09624909,0.09216459,-0.10536542,-0.34208444,-0.0958425,-0.39925593,-0.09063583,-0.061230887,-0.04176105,-0.034830324,-0.11373299,-0.3382284,-0.33133024,0.13306725,-0.08106396,-0.028485117,-0.024905482,0.03075337,-0.05102545,-0.15459876,0.3263085,-0.08291316
15,0.014039268,0.37288007,-0.10957824,0.19178152,0.20007268,-0.10605198,0.2148997,-0.05132467,-0.027286937,0.010528189,-0.11075111,-0.11670431,0.055600986,-0.067020044,0.22865884,0.47036642,-0.07846406,0.08938189,0.11056583,-0.22469957,-0.3185157,-0.111008435,-0.13662337,0.111564346,-0.014635205,0.4752266,-0.028703805,-0.109731354,-0.055223294,0.008446022,0.22556604,-0.2530632,-0.07265382,0.5170244,-0.26075917,-0.6644172,-0.13295506,-0.33835614,0.18441847,-0.12586579,0.3345729,0.04735439,0.07275056,-0.02677123,0.05070204,-0.08938282,-0.040927418,-0.24368551,0.13515627,0.1792365,0.07899287,0.05873767,-0.39221987,-0.007054251,0.0659165,-0.016933935,-0.101064056,0.082736716,0.21322438,-0.01378753,-0.102452494,-0.09150809,-0.081735596,-0.09948755
16,-0.1546541,-0.050359324,0.14171861,-0.0024270322,0.4663471,0.03379678,0.0016097781,-0.29356864,-0.008215718,0.15028693,0.4445813,0.08269633,0.6541981,-0.04611702,0.045226116,0.23634478,0.11239798,-0.34722742,-0.0020961983,-0.043969374,-0.2572558,-0.24936402,0.42157283,-0.19312643,0.29343748,0.23264374,-0.511872,-0.07870604,-0.18620239,-0.07969683,0.06408378,0.13673396,-0.016087128,0.46696383,-0.109629706,-0.13511208,0.12185809,-0.1392044,0.007849792,0.0017309143,0.46717831,-0.25473273,-0.047093984,-0.15903188,0.05100773,0.1354032,0.43195882,-0.096019626,-0.5555802,-0.13917194,-0.23693407,0.1158276,-0.11997467,-0.39091665,-0.40501645,0.32935956,0.21155445,-0.07039824,0.009451093,-0.065657735,-0.03394114,0.22055358,0.13461462,0.14743508
17,0.2981392,0.21912386,0.37235147,-0.18051201,0.24398543,-0.042560883,0.27247587,0.113591254,-0.39767727,0.00056638045,0.30793568,0.09591998,-0.21108322,0.068318084,0.064241484,0.054437924,-0.21803284,0.014350219,-0.035745442,-0.20499717,0.30085438,-0.27462023,-0.29521665,0.35585293,0.12038919,0.5007363,0.06331556,0.052009404,0.017945103,-0.03965799,-0.24896215,0.049480923,0.1768549,0.028663158,0.11980301,0.010789015,-0.08023503,-0.38298082,-0.028482383,0.18690036,0.1902653,0.12393871,0.09480521,0.14974035,-0.5045728,0.055508032,0.18357022,-0.13206184,-0.47129592,-0.52237797,0.25239486,-0.08617253,0.021483725,0.17113999,-0.32199106,0.48990443,-0.3058477,-0.05941462,0.24147843,0.50976866,-0.15543182,-0.3234645,0.053971536,0.15045185
18,-0.7215063,0.5345546,-0.07879,0.41790438,-0.11710945,0.25040558,-0.4015986,0.25095734,-0.40669298,0.22576553,0.30136874,-0.18608801,-0.2096744,0.12316454,-0.3249593,0.46743038,-0.17549358,-0.047131196,-0.2098873,0.13119492,-0.002352109,0.39983603,0.48305604,0.9591427,-0.5430168,0.38110757,-0.021641705,-0.17273994,-0.7831871,0.30898368,-0.011475317,-0.124658175,-0.22767998,-0.32500443,0.3570421,-0.5086231,-0.32733762,-0.5352787,-0.0056216153,0.15655349,-0.18052529,-0.2866991,0.3926938,-0.36502418,0.09816737,-0.19908859,0.43005458,-0.20076343,-0.38530478,-0.42689124,-0.3834234,-0.17348672,0.04409425,0.11901788,0.7693834,-0.3176867,0.015432442,0.23491332,-0.44276232,0.5464925,-0.1775516,0.1693163,0.282467,0.7009868
19,-0.11584554,-0.067792974,0.04187385,-0.027079945,0.092796184,0.08412349,-0.06277289,-0.041504428,-0.2161216,0.13594906,0.20786525,0.19715203,0.029624317,0.0051953844,0.026531188,0.24399395,-0.32698503,-0.50162387,0.058913715,0.19448668,-0.32498258,-0.11208719,0.05412923,-0.092530526,0.019867301,0.119047605,0.3014603,0.08916766,0.009391048,0.26882493,0.09855079,-0.017100219,-0.09298245,-0.24317147,-0.18358852,-0.40232983,-0.054168854,-0.254178,0.19760309,-0.10591058,-0.20586346,0.06350883,-0.1794578,-0.06067843,-0.23119046,-0.11189832,0.26704723,-0.6635816,-0.046413902,0.0490523,-0.07144461,0.045032475,-0.29839635,0.25124145,-0.14770772,0.4597624,-0.0781167,-0.0700569,0.17153321,-0.046194088,0.29961094,-0.07818938,0.25179997,-0.27301383
22,0.084815815,0.105275065,0.4840335,0.11375211,0.22586139,0.3162947,0.23414981,-0.025714472,0.056896217,-0.014532955,0.019206375,-0.067809224,0.0027840785,0.018427206,0.2405131,0.024785144,0.07660882,-0.2726729,-0.1474839,-0.14240098,-0.45595542,0.1784662,-0.048515372,0.19353448,0.16998848,0.48517516,-0.091494314,-0.073284276,-0.29876065,0.49588057,0.2369055,0.066864334,-0.06403266,0.17063841,-0.003009021,-0.4851916,0.1178643,0.053196423,0.21374567,-0.4693223,-0.17500982,0.13906433,-0.024028813,-0.027662123,-0.25260013,0.010369061,0.21611337,0.59638983,-0.053963,0.34763294,0.058006726,0.047460932,0.28262848,-0.11535691,0.023126036,0.2192658,-0.3227965,0.022651305,-0.0942818,-0.048948,-0.13233456,-0.37970087,0.47926968,-0.12222828
23,-0.0006905519,0.112148345,-0.006777809,0.22561422,0.15725133,0.11794358,-0.012895005,-0.18132865,-0.21173543,-0.35815772,0.35709465,-0.04315115,0.050043605,0.27581334,-0.14686765,0.109026626,0.118445255,-0.10449924,0.096603826,-0.39200622,-0.038874626,0.09193894,0.05224921,0.23236209,0.16103217,0.17582692,-0.1015283,0.031432007,-0.08143488,-0.12448489,0.15047358,0.17995068,0.049573753,0.27437797,-0.0035954898,0.048617635,-0.028067164,-0.22191828,0.2667187,0.009713425,0.17327942,-0.04912599,-0.17922279,-0.08705703,0.056992922,-0.20268796,-0.1820748,-0.50984985,0.0913264,0.13608564,-0.06020093,0.120140284,0.3923689,0.27200267,0.14180608,0.30750287,-0.21440348,0.23569669,-0.37439457,0.19988377,0.0664924,-0.2467723,0.43186158,-0.66351706
